Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source
20.0,60.0,0.4,1.45,0.0,0.1720382465666911,0.5327353903745351,0.25083401159915025,0.18743371351882265,0.24701700210893318,0.15992780033446352,0.0,0.1739802149741422,0.3602029501009255,0.36333311828914816,0.2219461332299576,0.4317669916201329,GP_posterior_sample
20.0,60.0,0.5105263157894737,1.45,0.0,0.18530933628171095,0.17282969528059478,0.3032609557542338,0.3090124183473402,0.02796270486449543,0.1361871477277828,0.10116076016433165,0.09443678915889395,0.05778127329523816,0.4062501257097998,0.3320936390667132,0.049692513261024446,GP_posterior_sample
20.0,60.0,0.6210526315789474,1.45,0.0,0.14717382080699792,0.2560704793090526,0.2231716346322441,0.0,0.07862667516557793,0.045358023397522665,0.02790292639065106,0.172373075464378,0.12772686689840573,0.07568241734029563,0.22219704379661645,0.1380606040398461,GP_posterior_sample
20.0,60.0,0.7315789473684211,1.45,0.0,0.33026207494223037,0.31860587297134296,0.029295921752160392,0.20815713391170598,0.11668844217379866,0.15620291983871784,0.0641624829764443,0.10347549902864914,0.18027412821950625,0.0,0.027077990177721473,0.20444793338250808,GP_posterior_sample
20.0,60.0,0.8421052631578948,1.45,0.17620181276316768,0.4796230102677584,0.11892458595525424,0.019426703841594395,0.006787485774503041,0.0,0.02329671755364407,0.0,0.016629883414034013,0.01248587015829053,0.032904492231557336,0.0751644105766115,0.0,GP_posterior_sample
20.0,60.0,0.9526315789473685,1.45,0.0,0.4067632303880225,0.2509376520879155,0.01322899239919123,0.04350972422978068,0.07550261273719701,0.06252344866113305,0.06739182393318284,0.0,0.12341385313916255,0.15947734349443482,0.11433445037584944,0.13261161473582442,GP_posterior_sample
20.0,60.0,1.0631578947368423,1.45,0.0017785695733891077,0.33772925738382037,0.25044431352522856,0.0,0.07959649789983246,0.07520234537931379,0.15036900851777407,0.0267956766975153,0.05014710532750948,0.12299931044813409,0.0,0.0,0.13208788844707017,GP_posterior_sample
20.0,60.0,1.1736842105263159,1.45,0.22041176721407912,0.43942789896251194,0.0,0.0,0.12563336535887742,0.0,0.0,0.15267489601200598,0.0,0.0,0.1284373011931271,0.07050741343512414,0.0,GP_posterior_sample
20.0,60.0,1.2842105263157895,1.45,0.2502532614372299,0.6330346317633443,0.42043626525355837,0.0,0.05514983191896887,0.17866685853001624,0.07784802478838918,0.011383738696335334,0.0,0.26584020400980574,0.0,0.0,0.31255067958155236,GP_posterior_sample
20.0,60.0,1.3947368421052633,1.45,0.27376687071919165,0.6948840738300196,0.35081389243959515,0.15861609779363006,0.19265552428531268,0.13629164703114782,0.061125862728785396,0.057062811896410354,0.0,0.2073378934973429,0.0,0.018718321112950784,0.23863984088789075,GP_posterior_sample
20.0,60.0,1.505263157894737,1.45,0.1416776824355319,0.4423031085214834,0.14621113775663075,0.0,0.04681116032542226,0.011761490236450609,0.17937688410201394,0.0,0.0,0.035414222953218194,0.0,0.15458633301832628,0.021434356695911178,GP_posterior_sample
20.0,60.0,1.6157894736842104,1.45,0.10864777854901508,0.18943500409970487,0.22196214660221428,0.0,0.09372355883163817,0.05786685682114813,0.07261253577721222,0.2537871874735936,0.0,0.09906630578237245,0.0,0.0,0.1018513314323019,GP_posterior_sample
20.0,60.0,1.7263157894736842,1.45,0.18342203514519256,0.2649729067238341,0.33492550850120684,0.0,0.0,0.1266212838626377,0.11562872259929029,0.07367532755973569,0.05248986201211732,0.1939871969735611,0.0,0.22651459294471715,0.22177279463666522,GP_posterior_sample
